time,lat,long,mag,deep,location
2017/7/27 15:08,21.73,121.46,3.9,87,台湾屏东县海域
2017/7/28 1:43,45.26,124.73,3,14,吉林松原市宁江区
2017/7/28 1:53,13.41,-49.4,5.8,20,大西洋
2017/7/29 3:21,41.86,123.91,2.4,0,辽宁抚顺市新抚区（矿震）
2017/7/29 7:06,22.78,100.37,3.4,13,云南普洱市澜沧县
2017/7/30 7:48,39.78,118.46,2.1,7,河北唐山市古冶区
2017/7/30 8:04,28.13,104.68,3,8,四川宜宾市筠连县
2017/7/30 11:12,39.14,74.39,3.6,6,新疆克孜勒苏州阿克陶县
2017/7/31 0:33,23.95,108.58,3.7,7,广西来宾市忻城县
2017/7/31 21:59,22.78,100.37,2.8,15,云南普洱市澜沧县
2017/8/1 6:31,24.01,108.63,3,2,广西来宾市忻城县
2017/8/1 15:38,23.54,97.84,3.3,13,缅甸
2017/8/2 2:07,38.75,73.06,3.8,7,塔吉克斯坦
2017/8/3 8:14,39.71,73.84,3.9,7,吉尔吉斯斯坦
2017/8/4 5:43,24.19,103.67,3.4,6,云南红河州弥勒市
2017/8/4 20:59,38.53,74.11,3,116,塔吉克斯坦
2017/8/5 3:24,39.56,95.59,3.3,8,甘肃酒泉市肃北县
2017/8/5 12:01,26.61,108.83,3.3,10,贵州黔东南州剑河县
2017/8/5 21:09,45.3,125.03,2.9,8,吉林松原市宁江区
2017/8/6 8:15,-10.25,161.41,5.6,60,所罗门群岛
2017/8/6 15:43,39.03,75.2,3.2,18,新疆克孜勒苏州阿克陶县
2017/8/7 21:12,31.8,94.69,3.3,8,西藏那曲地区巴青县
2017/8/8 21:19,33.2,103.82,7,20,四川阿坝州九寨沟县
2017/8/8 21:28,33.24,103.78,3.2,5,四川阿坝州九寨沟县
2017/8/8 21:41,33.18,103.85,3.3,9,四川阿坝州九寨沟县
2017/8/8 23:04,33.24,103.79,3.2,5,四川阿坝州九寨沟县
2017/8/8 23:49,33.28,103.78,3,9,四川阿坝州九寨沟县
2017/8/8 23:51,33.11,103.88,3.1,10,四川阿坝州九寨沟县
2017/8/9 0:35,33.13,103.85,3.2,20,四川阿坝州九寨沟县
2017/8/9 3:59,33.29,103.79,3,10,四川阿坝州九寨沟县
2017/8/9 5:16,33.3,103.76,3.6,10,四川阿坝州九寨沟县
2017/8/9 5:37,33.12,103.87,3.6,17,四川阿坝州九寨沟县
2017/8/9 5:41,33.14,103.83,3.3,10,四川阿坝州九寨沟县
2017/8/9 6:24,33.14,103.85,3,18,四川阿坝州九寨沟县
2017/8/9 6:49,33.11,103.88,3.2,18,四川阿坝州九寨沟县
2017/8/9 6:49,33.31,103.77,3.3,13,四川阿坝州九寨沟县
2017/8/9 7:27,44.27,82.89,6.6,11,新疆博尔塔拉州精河县
2017/8/9 7:31,44.28,82.82,4,6,新疆博尔塔拉州精河县
2017/8/9 7:32,44.29,82.74,4,12,新疆博尔塔拉州精河县
2017/8/9 7:35,44.33,82.9,3.2,8,新疆博尔塔拉州精河县
2017/8/9 7:36,44.29,82.75,3.3,13,新疆博尔塔拉州精河县
2017/8/9 7:39,44.29,82.75,4.5,7,新疆博尔塔拉州精河县
2017/8/9 7:44,44.31,82.76,4.7,8,新疆博尔塔拉州精河县
2017/8/9 8:10,33.12,103.87,3.7,23,四川阿坝州九寨沟县
2017/8/9 8:22,44.3,82.71,4,6,新疆博尔塔拉州精河县
2017/8/9 8:27,44.28,82.7,3.1,5,新疆博尔塔拉州精河县
2017/8/9 8:29,33.28,103.8,3.9,13,四川阿坝州九寨沟县
2017/8/9 8:40,44.29,82.59,3.7,14,新疆博尔塔拉州精河县
2017/8/9 8:51,44.29,82.74,3,12,新疆博尔塔拉州精河县
2017/8/9 8:52,44.29,82.7,3.1,5,新疆博尔塔拉州精河县
2017/8/9 8:54,44.28,82.69,3.1,12,新疆博尔塔拉州精河县
2017/8/9 9:22,33.16,103.85,3.8,19,四川阿坝州九寨沟县
2017/8/9 9:32,33.28,103.75,3.7,19,四川阿坝州九寨沟县
2017/8/9 10:17,33.16,103.86,4.8,26,四川阿坝州九寨沟县
2017/8/9 13:22,44.29,82.78,4.6,8,新疆博尔塔拉州精河县
2017/8/9 13:30,44.1,82.07,3,7,新疆伊犁州尼勒克县
2017/8/9 14:41,32.23,102.63,2.9,18,四川阿坝州黑水县
2017/8/9 18:02,44.31,82.85,3.2,7,新疆博尔塔拉州精河县
2017/8/9 18:20,31.81,108.75,2.9,7,重庆城口县（有感）
2017/8/9 20:03,33.16,103.87,3.1,24,四川阿坝州九寨沟县
2017/8/9 23:47,44.33,82.79,3.3,7,新疆博尔塔拉州精河县
2017/8/10 1:14,44.28,82.73,3.3,7,新疆博尔塔拉州精河县
2017/8/10 2:30,33.15,103.86,3.1,26,四川阿坝州九寨沟县
