year,day,dayTran,time,lat,long,mag,deep,location
2018,4/27,43217,13:25:27,21.77,99.12,3.1,5,缅甸
2018,4/27,43217,13:55:54,22.35,121,4.2,17,台湾台东县海域
2018,4/27,43217,20:14:06,43.98,84.45,3,34,新疆塔城地区乌苏市
2018,4/28,43218,2:49:31,38.07,73.3,4,172,塔吉克斯坦
2018,4/28,43218,13:13:34,39.64,118.61,2.3,10,河北唐山市滦县
2018,4/29,43219,15:02:37,22.33,121.05,4.3,8,台湾台东县海域
2018,4/29,43219,16:00:43,41.86,123.93,2.9,0,辽宁抚顺市新抚区（矿震）
2018,4/29,43219,16:01:42,27.07,103.24,2.8,5,云南昭通市巧家县
2018,4/30,43220,19:31:18,36.91,75.81,3,7,新疆喀什地区塔什库尔干县
2018,5/1,43221,2:24:52,-15.9,168.37,5.9,270,瓦努阿图
2018,5/1,43221,11:14:45,43.61,86.62,4.3,12,新疆昌吉州昌吉市
2018,5/1,43221,11:25:02,25.81,99.85,2.9,13,云南大理州漾濞县
2018,5/1,43221,11:44:48,43.66,86.66,3,12,新疆昌吉州呼图壁县
2018,5/1,43221,14:20:44,31.25,99.73,3.1,10,四川甘孜州白玉县
2018,5/2,43222,3:47:53,-17.99,-177.95,6,590,斐济群岛地区
2018,5/2,43222,4:28:44,28.5,102.71,3.2,21,四川凉山州越西县
2018,5/2,43222,7:10:51,32.6,105.37,3.3,13,四川广元市青川县
2018,5/2,43222,7:47:04,23.97,122.29,5.2,15,台湾花莲县海域
